,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Internship_Experience,Placement
2689,80,6.51,6.05,2,1,6,0,1.0,0
2690,115,8.9,8.84,4,7,8,3,0.0,1
2691,117,6.76,7.21,4,9,9,5,1.0,1
2692,122,8.87,8.43,6,1,5,4,0.0,1
2693,105,9.93,9.58,8,8,9,3,0.0,1
2694,108,9.6,9.57,1,0,9,1,0.0,0
2695,85,5.31,5.52,1,8,2,4,0.0,0
2696,81,5.34,5.56,6,3,3,4,1.0,0
2697,114,9.66,10.08,10,3,1,5,1.0,1
2698,91,8.79,8.47,2,10,8,5,0.0,1
2699,114,5.71,6.0,9,4,6,2,0.0,0
2700,82,7.77,7.29,1,1,2,0,1.0,0
2701,78,9.19,8.88,7,7,1,3,0.0,0
2702,120,6.04,6.23,3,3,8,1,0.0,0
2703,104,6.84,7.07,8,5,7,5,0.0,0
2704,82,8.83,9.23,3,6,4,1,0.0,0
2705,104,6.08,5.63,10,9,7,1,0.0,0
2706,120,6.44,5.98,6,0,9,3,1.0,1
2707,79,8.71,8.47,1,6,10,4,0.0,1
2708,112,8.86,8.38,5,1,6,3,1.0,1
2709,98,8.47,8.13,2,10,10,1,0.0,0
2710,85,9.61,9.71,5,10,9,5,1.0,1
2711,100,6.4,6.87,10,9,6,5,0.0,0
2712,78,7.5,7.84,2,0,1,1,1.0,0
2713,77,9.56,9.9,8,8,5,2,1.0,0
2714,102,5.1,5.04,3,8,7,5,0.0,0
2715,116,5.52,5.81,7,6,5,2,1.0,0
2716,116,6.63,6.72,2,5,4,5,1.0,0
2717,74,9.77,9.34,5,6,8,4,1.0,1
2718,107,9.01,9.29,10,1,5,3,1.0,0
2719,80,5.22,5.44,6,2,8,4,0.0,0
2720,119,8.05,7.85,4,9,3,3,1.0,0
2721,108,5.1,4.91,1,4,8,4,1.0,0
2722,107,6.13,5.78,3,0,5,3,0.0,0
2723,87,7.53,7.66,8,4,10,5,1.0,0
2724,95,7.99,7.86,8,4,7,5,1.0,0
2725,124,6.26,5.86,10,4,10,4,1.0,1
2726,91,9.76,10.17,2,2,8,0,0.0,0
2727,107,8.04,8.23,5,5,2,3,0.0,0
2728,98,7.98,7.54,1,2,10,5,0.0,0
2729,75,9.47,9.48,8,8,2,3,0.0,0
2730,86,5.29,5.29,9,6,1,4,1.0,0
2731,104,5.37,5.6,3,9,10,2,1.0,0
2732,105,6.52,6.27,6,2,9,0,0.0,0
2733,85,6.66,6.94,9,8,7,0,0.0,0
2734,98,5.68,5.18,8,9,6,0,1.0,0
2735,77,7.68,7.55,7,3,8,4,1.0,0
2736,73,9.98,10.45,6,2,8,1,0.0,0
2737,86,8.3,8.51,9,5,3,2,0.0,0
2738,107,7.81,7.72,8,0,5,1,0.0,0
2739,103,7.33,7.22,10,4,10,4,0.0,0
2740,131,8.45,7.96,6,6,7,1,0.0,0
2741,105,8.24,8.24,6,0,10,3,1.0,1
2742,73,8.72,8.48,10,0,5,5,1.0,0
2743,94,6.71,6.23,1,0,2,5,0.0,0
2744,95,8.77,8.38,3,6,2,5,1.0,0
2745,112,5.45,5.35,10,0,10,3,0.0,1
2746,104,8.13,7.96,7,5,6,1,0.0,0
2747,111,9.68,9.2,9,4,3,1,0.0,0
2748,82,6.15,6.04,6,5,3,2,1.0,0
2749,96,8.39,8.31,8,7,1,4,0.0,0
2750,95,9.87,10.3,3,0,8,0,1.0,0
2751,81,6.62,6.41,8,2,8,2,0.0,0
2752,93,5.78,5.85,6,3,3,5,1.0,0
2753,72,6.18,6.19,9,1,8,3,1.0,0
2754,126,5.9,5.47,9,3,8,5,1.0,1
2755,114,7.36,7.77,2,6,5,0,0.0,0
2756,100,8.4,8.23,8,2,8,2,1.0,1
2757,117,6.67,6.41,2,3,6,5,0.0,0
2758,86,7.23,7.28,3,0,4,2,1.0,0
2759,85,8.53,8.38,10,6,3,1,0.0,0
2760,109,5.86,5.98,4,2,4,0,0.0,0
2761,101,7.38,7.5,10,0,8,5,0.0,0
2762,80,9.5,9.82,10,4,7,5,0.0,0
2763,114,7.08,7.0,3,0,6,2,0.0,0
2764,112,5.39,4.89,10,7,9,1,1.0,0
2765,97,8.35,7.87,5,6,3,0,0.0,0
2766,125,8.34,7.9,6,6,4,2,1.0,0
2767,94,7.38,7.57,4,9,6,3,0.0,0
2768,59,9.75,9.31,10,1,10,1,1.0,0
2769,98,5.31,5.38,6,1,4,2,0.0,0
2770,91,8.16,7.89,5,8,5,1,0.0,0
2771,86,8.75,8.53,9,4,2,3,0.0,0
2772,129,5.62,5.26,4,8,2,5,1.0,0
2773,107,5.45,5.11,10,3,7,5,1.0,0
2774,100,6.02,6.02,3,0,5,4,1.0,0
2775,98,6.72,7.08,9,7,10,3,0.0,0
2776,107,5.22,5.08,6,6,8,4,1.0,0
2777,118,8.35,8.12,1,6,7,2,0.0,1
2778,114,9.14,8.81,4,2,2,1,1.0,0
2779,105,9.26,9.05,8,4,1,5,1.0,0
2780,118,8.78,8.84,10,0,10,0,0.0,1
2781,96,6.7,6.43,4,9,2,5,1.0,0
2782,91,9.8,9.72,2,6,3,5,1.0,0
2783,122,8.2,8.01,3,0,5,3,1.0,1
2784,104,8.89,8.61,7,4,2,0,0.0,0
2785,96,8.04,8.2,10,1,10,0,1.0,0
2786,100,5.82,5.81,7,6,1,3,0.0,0
2787,107,6.38,6.0,1,0,1,2,0.0,0
2788,103,9.4,9.38,3,0,7,1,0.0,0
2789,94,5.78,5.39,2,5,10,1,0.0,0
2790,122,7.56,7.52,7,9,3,1,0.0,0
2791,103,5.15,5.04,6,10,7,5,1.0,0
2792,94,6.14,6.39,5,10,1,0,0.0,0
2793,95,8.44,8.91,3,6,10,3,1.0,1
2794,81,8.21,7.74,4,2,7,4,1.0,0
2795,64,7.63,7.17,5,5,9,4,0.0,0
2796,83,6.98,7.47,6,3,6,4,1.0,0
2797,62,9.38,9.32,7,3,5,1,0.0,0
2798,108,8.92,8.44,9,3,2,5,1.0,0
2799,96,5.2,5.59,2,8,2,5,1.0,0
2800,107,9.93,10.11,3,7,9,2,1.0,1
2801,104,9.82,9.54,8,3,3,0,1.0,0
2802,114,8.74,8.46,10,3,5,1,0.0,0
2803,120,9.02,9.32,4,1,8,1,0.0,1
2804,76,8.17,8.49,1,7,9,3,0.0,1
2805,131,5.49,5.75,9,3,3,5,1.0,0
2806,97,5.81,5.84,7,4,5,5,0.0,0
2807,91,7.09,7.49,9,8,10,2,1.0,0
2808,98,5.79,5.51,9,10,3,0,0.0,0
2809,93,6.98,6.94,9,6,3,1,0.0,0
2810,100,8.17,7.76,8,3,2,5,1.0,0
2811,89,7.99,7.52,1,1,3,0,0.0,0
2812,96,7.3,7.2,8,2,3,0,1.0,0
2813,110,5.15,5.34,8,2,9,1,0.0,0
2814,94,9.47,9.67,5,9,10,2,0.0,1
2815,99,5.96,5.74,4,4,3,2,1.0,0
2816,82,6.55,6.17,5,0,7,1,0.0,0
2817,92,8.49,8.41,3,10,10,4,0.0,1
2818,105,6.77,6.56,7,0,2,2,1.0,0
2819,80,9.11,8.74,7,8,4,3,1.0,0
2820,112,8.59,8.58,5,0,1,1,0.0,0
2821,104,7.28,7.41,2,7,1,3,1.0,0
2822,133,6.1,5.64,8,0,9,3,0.0,1
2823,116,8.84,8.95,2,4,1,1,0.0,0
2824,110,9.49,9.22,7,6,9,0,0.0,0
2825,120,9.9,10.08,10,6,6,3,0.0,1
2826,90,6.39,6.62,3,8,2,1,1.0,0
2827,103,7.46,7.01,2,1,1,1,0.0,0
2828,73,8.04,7.64,7,3,3,2,1.0,0
2829,93,6.44,6.02,10,6,10,0,0.0,0
2830,86,8.27,7.83,6,8,1,3,1.0,0
2831,117,8.15,8.24,9,7,8,1,1.0,1
2832,97,6.79,6.32,7,7,7,3,1.0,0
2833,112,6.85,6.53,4,1,9,1,1.0,0
2834,102,8.27,8.03,3,8,8,4,0.0,1
2835,107,6.3,6.36,1,2,4,0,0.0,0
2836,93,9.58,10.07,5,7,8,3,0.0,1
2837,120,6.91,6.51,9,5,8,1,1.0,0
2838,109,5.05,4.94,5,9,3,4,1.0,0
2839,108,9.94,9.88,7,1,4,5,0.0,0
2840,99,7.35,7.31,7,10,4,2,0.0,0
2841,112,6.5,6.09,10,4,10,5,1.0,1
2842,119,9.45,9.34,10,0,6,1,0.0,0
2843,112,6.26,6.21,1,9,9,4,0.0,1
2844,91,9.44,9.42,7,5,1,5,0.0,0
2845,86,9.09,9.49,2,0,5,1,0.0,0
2846,104,6.12,6.02,2,8,7,2,0.0,0
2847,106,7.25,7.49,7,3,6,2,1.0,0
2848,89,8.96,8.47,3,10,3,4,0.0,0
2849,117,8.22,8.51,9,3,10,5,0.0,1
2850,85,9.23,9.35,10,1,3,3,0.0,0
2851,76,6.44,6.76,6,4,4,3,1.0,0
2852,76,6.2,6.02,8,10,6,3,0.0,0
2853,128,7.84,7.69,2,5,7,5,0.0,0
2854,120,9.51,9.47,8,6,8,5,1.0,1
2855,90,6.42,6.74,3,7,6,2,0.0,0
2856,124,7.73,7.96,3,8,3,1,0.0,0
2857,125,8.73,9.15,4,5,1,5,1.0,1
2858,81,9.14,9.35,4,10,6,5,0.0,0
2859,93,6.01,5.56,8,8,10,5,1.0,0
2860,124,8.67,9.12,4,8,1,5,0.0,1
2861,62,7.5,7.33,7,0,8,0,0.0,0
2862,89,5.73,5.39,2,5,7,1,1.0,0
2863,116,6.63,7.03,3,5,9,3,0.0,1
2864,106,6.89,7.0,8,7,6,5,0.0,0
2865,82,5.9,5.89,8,9,10,3,1.0,0
2866,111,6.57,6.97,6,8,9,3,0.0,1
2867,85,5.52,5.96,2,0,5,1,1.0,0
2868,80,7.39,6.93,3,4,6,5,1.0,0
2869,72,7.88,7.9,8,4,5,2,1.0,0
2870,119,8.67,9.02,4,10,8,3,1.0,1
2871,102,8.26,7.79,4,7,2,5,0.0,0
2872,108,9.59,9.86,7,4,3,1,1.0,0
2873,108,6.82,6.48,9,5,5,1,0.0,0
2874,87,7.54,7.24,9,8,1,4,0.0,0
2875,111,8.64,8.17,1,5,2,0,0.0,0
2876,90,9.34,9.04,6,6,6,5,0.0,0
2877,110,6.73,6.87,7,10,1,1,1.0,0
2878,117,7.08,6.93,2,3,5,5,1.0,0
2879,82,7.97,8.38,4,1,9,0,1.0,0
2880,95,6.81,6.81,6,8,3,3,0.0,0
2881,87,9.06,9.45,6,4,4,3,1.0,0
2882,133,7.24,7.3,3,0,8,1,0.0,0
2883,116,8.64,8.9,3,3,5,3,0.0,1
2884,122,6.22,5.99,8,1,3,2,1.0,0
2885,122,8.18,7.96,3,8,9,1,0.0,0
2886,110,7.9,8.19,4,0,5,0,0.0,0
2887,113,8.11,8.19,1,8,2,3,1.0,1
2888,85,8.14,7.76,9,6,2,4,0.0,0
2889,115,6.51,6.4,7,9,4,1,1.0,0
2890,98,9.72,9.93,5,5,5,0,0.0,0
2891,99,8.12,7.7,3,8,5,1,0.0,0
2892,85,5.38,5.58,10,6,2,5,0.0,0
2893,83,5.91,5.93,4,4,9,3,0.0,0
2894,95,6.46,6.27,9,6,7,4,1.0,0
2895,126,6.05,5.76,4,1,4,5,0.0,0
2896,90,9.9,9.43,5,7,6,5,1.0,0
2897,111,8.16,8.52,7,10,7,0,0.0,0
2898,91,8.54,9.02,10,2,9,0,0.0,0
2899,96,6.74,6.92,7,10,10,4,0.0,0
2900,105,5.67,5.41,6,7,10,0,1.0,0
2901,97,5.73,5.73,3,10,1,1,1.0,0
2902,121,9.31,9.23,2,10,9,1,0.0,1
2903,126,8.03,7.76,5,0,10,3,0.0,1
2904,129,9.16,9.39,8,4,1,3,1.0,1
2905,110,6.94,6.57,5,7,2,2,1.0,0
2906,121,9.95,9.61,8,7,4,4,1.0,1
2907,71,5.79,5.63,9,0,4,4,0.0,0
2908,98,9.11,9.47,4,3,2,1,1.0,0
2909,71,8.06,8.1,8,6,10,1,0.0,0
2910,86,7.69,7.63,1,8,2,0,0.0,0
2911,113,9.33,9.02,10,3,4,4,0.0,1
2912,120,8.67,8.96,2,6,7,0,0.0,0
2913,102,7.9,8.09,6,1,8,1,1.0,0
2914,137,6.92,6.73,5,7,1,3,0.0,0
2915,102,8.39,7.92,10,7,4,0,0.0,0
2916,101,5.88,5.76,8,8,9,4,0.0,0
2917,84,6.62,7.06,9,4,9,4,0.0,0
2918,119,8.41,8.29,4,1,8,0,0.0,1
2919,106,6.55,6.7,10,7,10,0,0.0,0
2920,115,5.65,5.85,3,6,10,5,1.0,1
2921,90,7.89,8.04,8,6,2,2,1.0,0
2922,130,8.68,8.48,2,3,5,1,0.0,0
2923,128,6.86,7.09,1,4,7,3,1.0,0
2924,107,9.72,9.32,4,8,4,0,0.0,0
2925,83,8.94,9.1,8,10,5,0,0.0,0
2926,86,8.73,8.27,6,6,7,0,1.0,0
2927,109,5.11,5.32,2,5,10,4,0.0,0
2928,85,6.47,6.73,9,2,10,3,0.0,0
2929,77,7.13,6.7,8,3,7,3,1.0,0
2930,88,9.84,10.01,1,6,5,3,1.0,0
2931,113,5.54,5.39,7,10,10,0,0.0,0
2932,109,8.14,7.92,6,1,2,5,1.0,0
2933,101,9.42,9.26,1,3,9,5,0.0,1
2934,86,9.39,9.06,5,10,8,0,1.0,0
2935,92,7.21,7.12,9,3,8,4,0.0,0
2936,92,9.99,9.79,1,9,9,4,1.0,1
2937,114,9.84,10.12,7,9,7,5,1.0,1
2938,98,5.54,5.86,7,10,5,1,1.0,0
2939,97,9.5,9.44,7,3,6,0,1.0,0
2940,83,5.73,5.85,8,7,8,0,1.0,0
2941,101,6.21,6.0,9,7,10,3,1.0,0
2942,96,9.49,9.58,1,10,9,0,0.0,0
2943,99,8.45,8.42,8,1,3,4,1.0,0
2944,84,5.95,5.93,5,7,9,3,0.0,0
2945,130,6.22,6.27,3,9,1,4,0.0,0
2946,125,7.92,8.07,10,1,1,0,0.0,0
2947,103,8.41,8.67,6,7,5,1,0.0,0
2948,117,6.41,6.23,7,6,6,2,0.0,0
2949,95,9.49,9.35,7,10,6,2,0.0,0
2950,102,6.29,6.02,7,0,9,4,1.0,0
2951,95,5.73,5.89,7,0,8,5,0.0,0
2952,101,6.26,6.64,10,7,4,3,0.0,0
2953,96,5.36,5.69,3,1,7,1,1.0,0
2954,109,5.35,5.43,1,10,7,3,1.0,0
2955,107,5.79,5.46,9,7,8,4,1.0,0
2956,115,5.98,6.12,6,9,7,5,0.0,0
2957,79,8.78,8.37,3,8,1,5,0.0,0
2958,95,5.79,5.77,5,5,4,5,0.0,0
2959,129,9.64,9.32,2,7,3,4,0.0,1
2960,93,7.98,8.22,3,6,7,4,0.0,0
2961,115,9.98,9.57,9,0,9,5,0.0,1
2962,71,8.03,8.03,9,3,4,3,0.0,0
2963,92,5.69,6.11,4,4,9,1,0.0,0
2964,92,6.1,6.49,2,8,4,5,0.0,0
2965,122,9.67,9.39,2,4,8,3,0.0,1
2966,90,6.43,6.89,9,10,4,2,1.0,0
2967,111,7.97,8.16,4,4,5,3,0.0,1
2968,79,5.74,5.82,1,9,5,5,0.0,0
2969,110,7.22,7.34,4,4,7,2,0.0,0
2970,102,9.47,9.78,3,6,9,4,0.0,1
2971,96,9.6,9.18,9,6,5,0,1.0,0
2972,123,6.98,7.33,10,9,4,0,1.0,0
2973,107,6.33,6.31,3,9,3,0,1.0,0
2974,102,7.47,7.86,2,8,10,3,0.0,0
2975,106,6.02,5.56,3,3,9,3,0.0,0
2976,108,5.16,5.53,7,9,10,0,0.0,0
2977,99,7.24,7.62,9,10,2,5,0.0,0
2978,101,9.23,9.55,8,4,6,3,1.0,0
2979,120,8.56,8.36,2,3,9,0,1.0,1
2980,99,6.15,6.25,7,4,6,4,1.0,0
2981,77,6.92,6.81,6,0,9,2,1.0,0
2982,114,6.58,6.72,3,6,2,5,0.0,0
2983,71,9.91,9.84,1,5,4,5,0.0,0
2984,101,7.32,6.86,8,2,7,0,0.0,0
2985,70,8.43,8.56,10,6,1,0,0.0,0
2986,99,6.83,6.59,2,6,9,4,1.0,0
2987,78,9.26,9.06,7,9,3,1,1.0,0
2988,104,8.41,8.29,10,10,7,0,1.0,0
2989,82,8.87,9.04,2,9,8,2,1.0,1
2990,106,6.46,6.21,9,6,1,3,1.0,0
2991,92,9.55,10.0,10,2,8,5,0.0,1
2992,70,5.9,5.63,5,3,1,1,0.0,0
2993,117,5.38,5.53,6,4,9,2,1.0,1
2994,102,8.75,9.15,7,0,2,0,1.0,0
2995,92,9.09,9.25,3,8,1,4,1.0,0
2996,99,8.67,8.76,3,0,2,3,1.0,0
2997,121,9.42,9.17,9,4,7,1,0.0,0
2998,117,5.29,4.87,7,1,6,3,0.0,0
2999,95,6.12,5.9,9,3,10,0,0.0,0
3000,94,5.42,5.42,2,2,5,4,1.0,0
3001,97,8.95,8.91,10,1,7,0,0.0,0
3002,113,7.47,7.46,7,9,6,2,0.0,0
3003,95,6.86,7.33,5,3,9,0,0.0,0
3004,117,7.94,7.56,9,1,3,4,0.0,0
3005,102,5.31,5.18,8,8,6,5,0.0,0
3006,94,6.25,6.74,3,6,10,5,0.0,0
3007,129,8.43,8.41,9,3,7,0,1.0,0
3008,79,5.16,5.21,5,6,3,3,1.0,0
3009,107,6.56,6.77,5,3,5,1,1.0,0
3010,107,5.25,5.51,5,7,10,5,1.0,0
3011,118,7.27,7.39,10,4,9,0,0.0,0
3012,88,9.67,10.17,5,1,6,3,1.0,0
3013,94,5.37,5.14,1,1,6,3,1.0,0
3014,119,6.44,6.13,10,3,5,4,1.0,0
3015,122,5.46,5.24,8,4,3,0,0.0,0
3016,81,9.92,10.37,10,9,5,5,0.0,0
3017,103,6.16,6.3,5,3,1,2,1.0,0
3018,94,8.42,8.25,4,9,10,2,1.0,1
3019,112,7.45,7.62,10,6,9,2,1.0,1
3020,98,5.41,5.79,10,7,9,2,0.0,0
3021,112,7.63,7.62,3,1,4,5,0.0,0
3022,115,6.77,7.01,3,2,9,2,1.0,1
3023,103,9.03,8.8,8,2,3,4,0.0,0
3024,96,9.31,9.05,10,8,2,0,1.0,0
3025,109,6.39,5.91,10,1,8,2,1.0,0
3026,107,8.18,7.88,6,0,9,5,1.0,0
3027,97,6.11,6.39,8,3,2,4,0.0,0
3028,106,5.71,5.91,8,2,5,0,0.0,0
3029,140,9.18,9.47,3,10,4,1,1.0,0
3030,124,5.84,5.45,3,6,2,4,0.0,0
3031,97,9.13,8.74,1,8,1,2,0.0,0
3032,82,6.36,6.66,4,4,6,1,0.0,0
3033,130,9.13,9.29,4,6,1,3,0.0,1
3034,104,9.01,8.98,2,7,4,3,0.0,0
3035,107,7.14,7.47,2,9,3,3,0.0,0
3036,88,9.61,9.37,8,2,2,1,1.0,0
3037,90,5.56,5.9,6,3,8,1,0.0,0
3038,112,6.87,6.96,9,7,10,4,1.0,1
3039,118,8.14,8.6,3,5,2,3,1.0,1
3040,101,5.05,4.94,6,8,4,1,1.0,0
3041,88,5.31,5.27,9,3,5,5,0.0,0
3042,85,7.48,7.62,6,3,7,4,0.0,0
3043,93,7.57,7.28,1,10,7,2,0.0,0
3044,101,6.18,6.38,2,1,7,3,0.0,0
3045,72,7.69,7.76,9,10,5,1,0.0,0
3046,88,6.81,6.88,9,7,1,0,0.0,0
3047,115,5.8,5.86,9,7,7,0,1.0,0
3048,124,9.95,10.0,10,6,7,4,0.0,1
3049,104,5.12,5.17,10,9,7,1,0.0,0
3050,100,8.67,8.26,10,8,6,0,0.0,0
3051,97,9.35,9.38,10,8,8,2,0.0,1
3052,109,5.89,5.73,8,7,7,3,0.0,0
3053,112,6.93,6.6,1,2,4,5,0.0,0
3054,78,6.59,6.13,1,6,9,2,0.0,0
3055,74,7.47,7.78,3,4,6,2,0.0,0
3056,92,5.27,5.57,2,5,3,3,0.0,0
3057,116,8.61,8.51,4,1,1,5,0.0,1
3058,112,8.61,8.8,1,2,7,5,1.0,1
3059,112,9.22,9.06,1,10,8,3,0.0,1
3060,103,9.92,9.59,9,8,5,1,1.0,0
3061,91,9.07,8.68,3,2,10,4,1.0,1
3062,108,9.71,9.38,2,9,1,5,1.0,0
3063,85,9.7,9.36,5,6,1,1,1.0,0
3064,117,6.62,6.16,3,6,2,2,1.0,0
3065,112,6.02,6.33,5,1,7,4,0.0,0
3066,74,8.05,8.44,5,0,8,2,0.0,1
3067,100,8.82,8.66,10,8,4,1,1.0,0
3068,88,9.51,9.29,3,6,10,1,0.0,0
3069,105,8.56,8.82,2,0,1,5,1.0,0
3070,93,5.21,4.75,1,6,6,3,1.0,0
3071,90,9.19,9.43,8,0,10,0,0.0,0
3072,94,9.51,9.74,7,4,4,5,0.0,0
3073,105,8.7,9.2,5,3,2,4,0.0,0
3074,91,8.97,9.07,8,8,7,2,0.0,0
3075,94,5.58,5.49,9,4,3,3,1.0,0
3076,114,9.14,9.47,3,8,4,0,0.0,0
3077,124,5.81,5.92,10,1,3,5,0.0,0
3078,95,7.2,6.73,7,8,8,5,0.0,0
3079,110,6.69,6.6,8,4,4,0,1.0,0
3080,86,5.97,5.83,2,1,10,3,0.0,0
3081,86,9.51,9.3,4,2,10,5,0.0,1
3082,104,9.86,10.19,7,7,8,4,0.0,1
3083,103,5.77,5.47,4,3,8,5,0.0,0
3084,100,8.58,8.47,5,5,8,2,1.0,1
3085,94,5.27,4.89,1,4,10,2,0.0,0
3086,88,9.36,9.6,5,9,5,0,0.0,0
3087,108,5.94,5.95,10,8,7,4,0.0,0
3088,79,7.35,7.72,5,10,8,2,0.0,0
3089,95,6.97,7.22,3,1,1,2,0.0,0
3090,104,5.2,5.41,5,0,6,0,0.0,0
3091,134,6.61,6.12,3,9,5,1,0.0,0
3092,102,6.59,6.58,10,5,2,2,1.0,0
3093,85,8.91,9.3,10,6,4,2,0.0,0
3094,78,9.98,9.66,8,9,3,2,1.0,0
3095,68,7.69,7.57,4,2,3,1,1.0,0
3096,102,7.66,7.86,7,9,7,5,1.0,0
3097,108,9.93,9.79,6,4,7,5,1.0,0
3098,107,5.31,5.55,10,1,4,3,0.0,0
3099,125,9.6,9.15,8,6,3,1,0.0,0
3100,74,8.71,9.14,9,6,7,0,0.0,0
3101,81,7.06,7.23,5,3,2,3,1.0,0
3102,74,8.23,7.84,2,10,4,2,1.0,0
3103,68,5.41,5.84,8,10,3,1,0.0,0
3104,132,6.22,6.6,6,3,7,4,1.0,0
3105,77,5.08,4.65,4,3,1,3,1.0,0
3106,124,8.13,7.91,10,5,6,1,0.0,0
3107,104,8.89,8.94,1,7,4,1,0.0,0
3108,97,6.27,6.17,8,0,6,2,1.0,0
3109,107,7.86,8.19,2,4,4,4,0.0,0
3110,108,5.5,5.72,2,1,3,4,0.0,0
3111,66,9.55,9.29,3,2,8,4,1.0,1
3112,114,7.04,7.16,4,4,4,1,0.0,0
3113,117,8.47,8.5,9,3,10,1,0.0,1
3114,80,9.05,8.97,8,4,9,4,0.0,1
3115,97,5.45,5.84,10,0,8,2,1.0,0
3116,101,8.68,8.73,6,7,9,1,1.0,0
3117,88,9.35,9.32,1,8,3,4,0.0,0
3118,109,8.64,8.45,3,0,10,5,1.0,1
3119,118,7.55,7.18,3,9,5,5,1.0,0
3120,91,5.13,5.31,1,1,9,1,0.0,0
3121,81,9.64,9.19,3,1,4,2,0.0,0
3122,96,5.88,5.85,5,8,10,3,1.0,0
3123,105,9.81,9.76,7,0,2,1,0.0,0
3124,77,6.97,6.51,8,0,9,4,1.0,0
3125,87,6.52,6.87,7,6,1,1,1.0,0
3126,73,8.19,8.53,1,8,5,0,1.0,0
3127,96,6.48,6.8,7,0,7,1,0.0,0
3128,79,9.35,9.05,7,9,1,4,0.0,0
3129,100,8.6,8.14,5,7,1,2,1.0,0
3130,120,9.74,10.04,3,3,2,1,0.0,0
3131,106,8.8,8.34,5,4,2,4,0.0,0
3132,88,5.83,5.57,7,7,9,2,0.0,0
3133,126,7.76,7.31,4,0,8,4,0.0,1
3134,107,7.54,7.57,8,3,10,3,0.0,0
3135,98,5.63,5.17,8,9,4,2,0.0,0
3136,101,7.37,7.03,2,0,10,5,0.0,0
3137,95,7.91,8.05,6,5,8,2,0.0,1
3138,123,5.02,4.58,3,2,9,5,1.0,1
3139,109,7.96,7.57,10,5,4,1,1.0,0
3140,91,8.08,8.49,3,4,10,3,1.0,1
3141,87,9.98,9.58,5,7,1,1,1.0,0
3142,89,5.3,5.39,5,7,5,3,1.0,0
3143,94,5.26,5.66,8,7,10,4,0.0,0
3144,88,5.57,6.07,4,3,1,5,0.0,0
3145,121,8.99,9.33,1,0,5,4,1.0,1
3146,125,6.42,6.72,4,5,3,2,0.0,0
3147,87,7.97,7.79,7,8,1,2,0.0,0
3148,115,5.52,5.62,9,4,10,1,1.0,0
3149,100,8.27,7.96,4,9,5,2,1.0,0
3150,100,6.13,5.87,8,9,10,1,0.0,0
3151,100,8.84,8.84,6,4,9,4,0.0,1
3152,92,6.49,6.2,7,7,3,0,0.0,0
3153,107,8.22,8.57,3,7,7,3,0.0,0
3154,71,6.8,6.34,7,7,3,3,0.0,0
3155,92,8.07,7.78,10,0,6,4,0.0,0
3156,101,9.07,9.45,2,2,7,2,0.0,0
3157,98,8.89,8.63,10,1,8,5,0.0,1
3158,117,6.71,6.75,6,0,6,3,0.0,0
3159,95,7.42,7.43,3,8,8,2,0.0,0
3160,114,8.05,8.13,9,5,7,4,1.0,1
3161,108,7.83,7.46,5,5,6,1,0.0,0
3162,122,7.59,7.76,10,10,3,0,1.0,0
3163,124,7.35,6.94,6,8,1,3,1.0,0
3164,90,7.64,7.64,5,8,1,4,1.0,0
3165,88,5.0,4.69,3,0,2,0,0.0,0
3166,98,9.73,9.35,3,4,2,4,0.0,0
3167,95,7.98,7.62,8,9,9,5,0.0,0
3168,85,7.25,7.64,10,4,10,3,1.0,0
3169,109,6.34,6.55,6,1,9,0,0.0,0
3170,89,6.04,6.46,9,6,7,4,0.0,0
3171,104,6.5,6.63,9,1,10,5,1.0,0
3172,124,8.92,8.63,4,9,10,4,0.0,1
3173,102,9.92,10.19,6,4,2,1,1.0,0
3174,100,8.87,8.89,4,0,9,2,1.0,1
3175,92,7.99,7.82,4,9,10,1,1.0,0
3176,101,6.18,6.53,1,4,9,1,1.0,0
3177,60,6.58,6.76,1,0,4,3,1.0,0
3178,89,9.84,10.12,10,6,4,2,1.0,0
3179,84,9.69,9.43,7,5,3,3,1.0,0
3180,83,6.33,6.18,8,10,6,0,0.0,0
3181,91,9.97,10.44,7,1,3,5,0.0,0
3182,92,6.52,6.04,8,8,1,5,0.0,0
3183,97,5.24,5.03,1,1,2,0,0.0,0
3184,138,8.21,8.55,4,8,2,3,1.0,1
3185,92,6.49,6.98,5,0,1,2,1.0,0
3186,102,7.6,7.43,2,5,8,5,1.0,0
3187,107,7.36,7.2,5,6,2,1,1.0,0
3188,59,7.5,7.16,5,5,7,1,1.0,0
3189,103,7.43,7.44,4,10,8,3,0.0,0
3190,116,9.67,9.45,1,0,3,5,0.0,1
3191,122,6.38,6.38,3,10,4,4,0.0,0
3192,122,6.73,6.26,5,2,3,5,0.0,0
3193,117,8.0,8.16,6,8,8,2,0.0,1
3194,104,7.59,7.42,9,9,1,2,0.0,0
3195,99,6.46,6.89,4,9,4,1,0.0,0
3196,109,9.92,10.09,2,5,10,3,1.0,1
3197,131,7.19,6.92,2,1,8,5,1.0,1
3198,91,5.05,5.55,4,3,7,2,0.0,0
3199,98,5.32,5.56,3,1,4,4,0.0,0
3200,79,6.0,6.22,3,5,5,1,0.0,0
3201,71,7.79,7.74,6,2,5,0,1.0,0
3202,96,6.81,6.32,5,3,3,2,0.0,0
3203,79,5.32,5.59,8,5,9,4,0.0,0
